entry_id,posting_date,entity,department,account_category,description,vendor_counterparty,amount_usd,payment_terms_days,reconciliation_status
GL-10525,2026-04-23,Enterprise Cloud BV,General & Admin,Direct COGS,Stripe Payment Processing,Amazon Web Services,6196.3,45,RECONCILED
GL-10526,2026-02-17,EMEA Logistics Ltd,General & Admin,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,9562.14,30,PENDING_AUDIT
GL-10527,2026-05-18,Enterprise Cloud BV,Sales & Marketing,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,11348.92,45,RECONCILED
GL-10528,2026-04-14,Enterprise Cloud BV,Data Infrastructure,Direct COGS,AWS Cloud Compute & S3,Amazon Web Services,13898.6,60,PENDING_AUDIT
GL-10529,2026-09-10,Group HQ (US),Data Infrastructure,General & Admin,Audit & Corporate Legal Retainers,Baker McKenzie LLP,8206.67,45,PENDING_AUDIT
GL-10530,2026-10-22,Sub-Sahara Telco PLC,Customer Support,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,14946.99,60,RECONCILED
GL-10531,2026-09-27,EMEA Logistics Ltd,Customer Support,General & Admin,Office Facilities & Coworking,Slack Technologies,3889.16,60,RECONCILED
GL-10532,2026-08-23,Group HQ (US),Data Infrastructure,Direct COGS,Third-Party LLM API Credits,Amazon Web Services,565.01,30,RECONCILED
GL-10533,2026-02-21,Sub-Sahara Telco PLC,General & Admin,Payroll & Benefits,Executive Compensation,Gusto Payroll,24616.96,30,RECONCILED
GL-10534,2026-11-10,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,44336.51,45,RECONCILED
GL-10535,2026-07-25,Sub-Sahara Telco PLC,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,20819.29,60,RECONCILED
GL-10536,2026-05-01,EMEA Logistics Ltd,Customer Support,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,16824.68,30,RECONCILED
GL-10537,2026-09-13,Enterprise Cloud BV,Data Infrastructure,Direct COGS,Stripe Payment Processing,Cloudflare CDN,3110.26,60,RECONCILED
GL-10538,2026-01-25,EMEA Logistics Ltd,Engineering & R&D,Payroll & Benefits,Engineering Salaries,Gusto Payroll,15858.91,45,RECONCILED
GL-10539,2026-02-19,EMEA Logistics Ltd,General & Admin,Gross Revenue,Enterprise Multi-Year License,National Telecom Operator,39089.82,45,RECONCILED
GL-10540,2026-12-14,Enterprise Cloud BV,Data Infrastructure,Payroll & Benefits,Contract Data Engineers,Gusto Payroll,10845.3,45,RECONCILED
GL-10541,2026-12-11,EMEA Logistics Ltd,Customer Support,Sales & Marketing,LinkedIn B2B Lead Generation,HubSpot Marketing,4121.64,30,RECONCILED
GL-10542,2026-11-24,Sub-Sahara Telco PLC,Customer Support,Payroll & Benefits,Contract Data Engineers,Mercer Benefits,9866.76,30,RECONCILED
GL-10543,2026-06-25,Enterprise Cloud BV,General & Admin,Direct COGS,Stripe Payment Processing,OpenAI Inc,5461.46,45,RECONCILED
GL-10544,2026-08-16,Sub-Sahara Telco PLC,Data Infrastructure,Direct COGS,Stripe Payment Processing,Cloudflare CDN,2088.35,30,RECONCILED
GL-10545,2026-05-01,Sub-Sahara Telco PLC,Engineering & R&D,Gross Revenue,Enterprise Multi-Year License,Fortune 500 Enterprise Client,21688.76,45,RECONCILED
GL-10546,2026-01-14,EMEA Logistics Ltd,Data Infrastructure,Sales & Marketing,Google Search & Ads Campaign,Google Ads,3599.62,30,RECONCILED
GL-10547,2026-07-19,Sub-Sahara Telco PLC,Sales & Marketing,Gross Revenue,Enterprise Multi-Year License,Fintech Payment Partner,58853.65,30,RECONCILED
GL-10548,2026-03-29,Group HQ (US),Engineering & R&D,Payroll & Benefits,Executive Compensation,Mercer Benefits,22745.45,60,PENDING_AUDIT
GL-10549,2026-10-08,EMEA Logistics Ltd,Sales & Marketing,General & Admin,Software Subscriptions (Slack/GitHub),Slack Technologies,771.78,60,RECONCILED
GL-10550,2026-11-22,EMEA Logistics Ltd,Data Infrastructure,Payroll & Benefits,Contract Data Engineers,Remote.com Global,10316.92,45,RECONCILED
GL-10551,2026-02-15,EMEA Logistics Ltd,General & Admin,Direct COGS,Stripe Payment Processing,Stripe Inc,3137.51,30,RECONCILED
GL-10552,2026-03-11,Sub-Sahara Telco PLC,General & Admin,Direct COGS,AWS Cloud Compute & S3,Cloudflare CDN,14268.01,45,RECONCILED
GL-10553,2026-08-09,Sub-Sahara Telco PLC,Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,6742.85,60,RECONCILED
GL-10554,2026-05-08,Enterprise Cloud BV,Customer Support,Sales & Marketing,Google Search & Ads Campaign,HubSpot Marketing,2133.68,60,RECONCILED
GL-10555,2026-11-10,Sub-Sahara Telco PLC,General & Admin,Payroll & Benefits,Contract Data Engineers,Remote.com Global,6596.78,30,RECONCILED
GL-10556,2026-05-29,Group HQ (US),Customer Support,Payroll & Benefits,Executive Compensation,Mercer Benefits,16319.16,30,RECONCILED
GL-10557,2026-10-01,Group HQ (US),Sales & Marketing,General & Admin,Audit & Corporate Legal Retainers,Baker McKenzie LLP,3250.39,45,RECONCILED
GL-10558,2026-04-30,Group HQ (US),Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,11955.47,45,FLAGGED_VARIANCE
GL-10559,2026-08-26,Group HQ (US),General & Admin,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,8496.33,45,RECONCILED
GL-10560,2026-08-29,Enterprise Cloud BV,Sales & Marketing,Sales & Marketing,LinkedIn B2B Lead Generation,Meta Business,6417.99,30,PENDING_AUDIT
GL-10561,2026-05-08,EMEA Logistics Ltd,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,12868.78,30,RECONCILED
GL-10562,2026-04-17,EMEA Logistics Ltd,Customer Support,Payroll & Benefits,Executive Compensation,Remote.com Global,15648.06,60,RECONCILED
GL-10563,2026-10-09,Group HQ (US),General & Admin,Direct COGS,Stripe Payment Processing,Stripe Inc,3575.29,30,RECONCILED
GL-10564,2026-04-22,Group HQ (US),Sales & Marketing,Payroll & Benefits,Executive Compensation,ADP TotalSource,15849.29,45,RECONCILED
GL-10565,2026-07-22,Enterprise Cloud BV,Engineering & R&D,General & Admin,Software Subscriptions (Slack/GitHub),Salesforce Inc,1845.65,30,RECONCILED
GL-10566,2026-02-15,Enterprise Cloud BV,Sales & Marketing,Direct COGS,Third-Party LLM API Credits,OpenAI Inc,5619.67,60,RECONCILED
GL-10567,2026-07-02,Enterprise Cloud BV,Data Infrastructure,Sales & Marketing,Google Search & Ads Campaign,Meta Business,3361.4,60,RECONCILED
GL-10568,2026-06-27,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,Enterprise Multi-Year License,National Telecom Operator,65707.94,45,PENDING_AUDIT
GL-10569,2026-09-06,EMEA Logistics Ltd,Data Infrastructure,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,9744.4,30,RECONCILED
GL-10570,2026-06-15,EMEA Logistics Ltd,General & Admin,Sales & Marketing,Global SaaS Summit Booth,LinkedIn B2B Marketing,6377.53,30,RECONCILED
GL-10571,2026-05-15,Sub-Sahara Telco PLC,Customer Support,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,23341.44,30,RECONCILED
GL-10572,2026-07-06,Enterprise Cloud BV,General & Admin,Payroll & Benefits,Contract Data Engineers,Mercer Benefits,4924.02,60,RECONCILED
GL-10573,2026-10-10,Enterprise Cloud BV,Data Infrastructure,Gross Revenue,Enterprise Multi-Year License,National Telecom Operator,22732.49,60,RECONCILED
GL-10574,2026-01-23,Enterprise Cloud BV,Sales & Marketing,Sales & Marketing,Google Search & Ads Campaign,Google Ads,5382.96,30,RECONCILED
GL-10575,2026-11-25,EMEA Logistics Ltd,Customer Support,Direct COGS,Third-Party LLM API Credits,OpenAI Inc,769.97,30,RECONCILED
GL-10576,2026-02-06,Group HQ (US),Sales & Marketing,Payroll & Benefits,Engineering Salaries,Mercer Benefits,15711.73,30,RECONCILED
GL-10577,2026-08-01,Sub-Sahara Telco PLC,Engineering & R&D,Sales & Marketing,LinkedIn B2B Lead Generation,Google Ads,5826.09,45,RECONCILED
GL-10578,2026-04-21,Group HQ (US),Engineering & R&D,Payroll & Benefits,Contract Data Engineers,Mercer Benefits,4920.95,60,RECONCILED
GL-10579,2026-10-19,Enterprise Cloud BV,Data Infrastructure,Payroll & Benefits,Executive Compensation,ADP TotalSource,29624.52,60,RECONCILED
GL-10580,2026-08-23,EMEA Logistics Ltd,Engineering & R&D,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,13855.59,60,RECONCILED
GL-10581,2026-11-04,EMEA Logistics Ltd,General & Admin,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,2174.19,45,RECONCILED
GL-10582,2026-08-09,Sub-Sahara Telco PLC,Data Infrastructure,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,14376.58,60,PENDING_AUDIT
GL-10583,2026-05-11,Sub-Sahara Telco PLC,Customer Support,Direct COGS,Stripe Payment Processing,Amazon Web Services,6392.61,45,RECONCILED
GL-10584,2026-09-23,Enterprise Cloud BV,General & Admin,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,21753.71,30,RECONCILED
GL-10585,2026-12-20,Sub-Sahara Telco PLC,Data Infrastructure,Direct COGS,Third-Party LLM API Credits,Stripe Inc,1018.58,45,RECONCILED
GL-10586,2026-03-12,Sub-Sahara Telco PLC,General & Admin,Sales & Marketing,Google Search & Ads Campaign,LinkedIn B2B Marketing,3549.95,45,RECONCILED
GL-10587,2026-07-24,Enterprise Cloud BV,Engineering & R&D,Payroll & Benefits,Executive Compensation,Gusto Payroll,23230.36,60,RECONCILED
GL-10588,2026-02-18,Sub-Sahara Telco PLC,Engineering & R&D,Payroll & Benefits,Contract Data Engineers,Mercer Benefits,4088.58,30,PENDING_AUDIT
GL-10589,2026-06-21,Sub-Sahara Telco PLC,Customer Support,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,11517.97,60,PENDING_AUDIT
GL-10590,2026-11-21,EMEA Logistics Ltd,Engineering & R&D,Direct COGS,AWS Cloud Compute & S3,OpenAI Inc,8651.03,30,RECONCILED
GL-10591,2026-12-24,Enterprise Cloud BV,Sales & Marketing,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,29276.01,60,RECONCILED
GL-10592,2026-02-16,Enterprise Cloud BV,Customer Support,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,24253.23,30,RECONCILED
GL-10593,2026-01-26,EMEA Logistics Ltd,General & Admin,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,24345.63,30,RECONCILED
GL-10594,2026-09-04,Enterprise Cloud BV,Customer Support,Direct COGS,Third-Party LLM API Credits,Stripe Inc,3586.42,60,RECONCILED
GL-10595,2026-05-05,Group HQ (US),General & Admin,Sales & Marketing,LinkedIn B2B Lead Generation,Google Ads,1908.94,45,RECONCILED
GL-10596,2026-06-28,Enterprise Cloud BV,General & Admin,Direct COGS,Third-Party LLM API Credits,Amazon Web Services,4733.25,30,FLAGGED_VARIANCE
GL-10597,2026-11-12,EMEA Logistics Ltd,Data Infrastructure,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,6992.92,45,RECONCILED
GL-10598,2026-02-13,Group HQ (US),Engineering & R&D,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,26718.81,45,RECONCILED
GL-10599,2026-12-22,Group HQ (US),General & Admin,Direct COGS,AWS Cloud Compute & S3,OpenAI Inc,4084.33,60,RECONCILED
GL-10600,2026-10-07,Sub-Sahara Telco PLC,Data Infrastructure,Direct COGS,Third-Party LLM API Credits,Stripe Inc,4322.89,60,RECONCILED
GL-10601,2026-10-26,Group HQ (US),General & Admin,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,70243.19,60,RECONCILED
GL-10602,2026-08-27,Group HQ (US),Engineering & R&D,Direct COGS,Stripe Payment Processing,OpenAI Inc,7454.97,30,RECONCILED
GL-10603,2026-11-29,EMEA Logistics Ltd,Sales & Marketing,General & Admin,Software Subscriptions (Slack/GitHub),WeWork Management,2298.13,45,RECONCILED
GL-10604,2026-09-30,Group HQ (US),Sales & Marketing,Gross Revenue,Enterprise Multi-Year License,Fortune 500 Enterprise Client,17782.67,60,RECONCILED
GL-10605,2026-09-08,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,13884.45,45,RECONCILED
GL-10606,2026-09-14,Sub-Sahara Telco PLC,Engineering & R&D,Payroll & Benefits,Executive Compensation,ADP TotalSource,33715.14,45,RECONCILED
GL-10607,2026-06-24,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,44213.33,60,RECONCILED
GL-10608,2026-06-09,Sub-Sahara Telco PLC,Customer Support,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,9218.22,60,RECONCILED
GL-10609,2026-03-12,Sub-Sahara Telco PLC,Data Infrastructure,General & Admin,Audit & Corporate Legal Retainers,PwC Audit Advisory,8562.32,60,PENDING_AUDIT
GL-10610,2026-06-12,Group HQ (US),Data Infrastructure,Direct COGS,Third-Party LLM API Credits,Amazon Web Services,1512.74,30,RECONCILED
GL-10611,2026-06-13,EMEA Logistics Ltd,Customer Support,Direct COGS,Third-Party LLM API Credits,OpenAI Inc,1335.76,30,RECONCILED
GL-10612,2026-04-05,Group HQ (US),Data Infrastructure,Payroll & Benefits,Contract Data Engineers,Gusto Payroll,7972.71,30,RECONCILED
GL-10613,2026-07-03,Group HQ (US),Customer Support,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,22800.48,45,RECONCILED
GL-10614,2026-07-18,EMEA Logistics Ltd,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,3225.16,30,PENDING_AUDIT
GL-10615,2026-07-31,Enterprise Cloud BV,Sales & Marketing,Sales & Marketing,Google Search & Ads Campaign,LinkedIn B2B Marketing,8916.83,45,RECONCILED
GL-10616,2026-09-08,Sub-Sahara Telco PLC,Customer Support,Sales & Marketing,LinkedIn B2B Lead Generation,Meta Business,6090.15,60,RECONCILED
GL-10617,2026-07-14,Sub-Sahara Telco PLC,Customer Support,Payroll & Benefits,Contract Data Engineers,ADP TotalSource,7404.87,45,RECONCILED
GL-10618,2026-01-22,Enterprise Cloud BV,Data Infrastructure,Direct COGS,Third-Party LLM API Credits,Amazon Web Services,3567.36,60,RECONCILED
GL-10619,2026-01-26,Enterprise Cloud BV,General & Admin,Direct COGS,Stripe Payment Processing,OpenAI Inc,4352.37,45,RECONCILED
GL-10620,2026-01-28,Enterprise Cloud BV,Customer Support,Sales & Marketing,LinkedIn B2B Lead Generation,Google Ads,5752.67,30,RECONCILED
GL-10621,2026-10-27,Enterprise Cloud BV,Customer Support,Direct COGS,Stripe Payment Processing,Amazon Web Services,2177.37,60,PENDING_AUDIT
GL-10622,2026-04-14,EMEA Logistics Ltd,Engineering & R&D,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,22959.37,30,RECONCILED
GL-10623,2026-12-28,EMEA Logistics Ltd,General & Admin,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,23171.85,60,RECONCILED
GL-10624,2026-03-23,EMEA Logistics Ltd,Data Infrastructure,Direct COGS,AWS Cloud Compute & S3,OpenAI Inc,9003.78,60,RECONCILED
GL-10625,2026-03-25,Enterprise Cloud BV,Sales & Marketing,Sales & Marketing,Google Search & Ads Campaign,Meta Business,3964.5,60,RECONCILED
GL-10626,2026-08-17,Sub-Sahara Telco PLC,Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,2579.49,45,RECONCILED
GL-10627,2026-09-12,EMEA Logistics Ltd,Data Infrastructure,Sales & Marketing,Global SaaS Summit Booth,Meta Business,9757.57,60,RECONCILED
GL-10628,2026-08-21,EMEA Logistics Ltd,Customer Support,Gross Revenue,Professional Advisory Retainer,Fortune 500 Enterprise Client,11117.83,60,RECONCILED
GL-10629,2026-11-18,Enterprise Cloud BV,Engineering & R&D,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,3326.22,30,RECONCILED
GL-10630,2026-11-05,Sub-Sahara Telco PLC,General & Admin,General & Admin,Office Facilities & Coworking,WeWork Management,4167.83,30,RECONCILED
GL-10631,2026-05-26,Enterprise Cloud BV,Customer Support,Payroll & Benefits,Executive Compensation,ADP TotalSource,14141.9,45,RECONCILED
GL-10632,2026-07-14,Group HQ (US),Customer Support,Sales & Marketing,Google Search & Ads Campaign,HubSpot Marketing,5266.53,30,RECONCILED
GL-10633,2026-05-21,Sub-Sahara Telco PLC,Data Infrastructure,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,9646.34,30,RECONCILED
GL-10634,2026-11-19,Group HQ (US),Customer Support,Payroll & Benefits,Contract Data Engineers,Remote.com Global,6702.9,45,RECONCILED
GL-10635,2026-10-22,Sub-Sahara Telco PLC,Sales & Marketing,Payroll & Benefits,Executive Compensation,Mercer Benefits,23327.6,30,PENDING_AUDIT
GL-10636,2026-04-30,Sub-Sahara Telco PLC,Sales & Marketing,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,16572.87,30,RECONCILED
GL-10637,2026-04-17,EMEA Logistics Ltd,Customer Support,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,15790.81,30,RECONCILED
GL-10638,2026-05-11,Group HQ (US),General & Admin,Direct COGS,Third-Party LLM API Credits,OpenAI Inc,4718.68,30,RECONCILED
GL-10639,2026-06-24,EMEA Logistics Ltd,Data Infrastructure,Payroll & Benefits,Engineering Salaries,Gusto Payroll,8731.18,45,PENDING_AUDIT
GL-10640,2026-09-03,EMEA Logistics Ltd,Engineering & R&D,Payroll & Benefits,Executive Compensation,Gusto Payroll,26425.61,60,PENDING_AUDIT
GL-10641,2026-08-25,EMEA Logistics Ltd,Engineering & R&D,Sales & Marketing,LinkedIn B2B Lead Generation,HubSpot Marketing,4697.62,30,RECONCILED
GL-10642,2026-12-17,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,21416.63,45,FLAGGED_VARIANCE
GL-10643,2026-11-17,Enterprise Cloud BV,Data Infrastructure,Payroll & Benefits,Engineering Salaries,ADP TotalSource,16442.83,45,RECONCILED
GL-10644,2026-06-11,Group HQ (US),General & Admin,Direct COGS,Stripe Payment Processing,Stripe Inc,3661.19,45,RECONCILED
GL-10645,2026-06-04,Enterprise Cloud BV,Engineering & R&D,Direct COGS,AWS Cloud Compute & S3,Stripe Inc,13804.28,45,RECONCILED
GL-10646,2026-09-05,Enterprise Cloud BV,Sales & Marketing,Direct COGS,Stripe Payment Processing,OpenAI Inc,6771.61,30,RECONCILED
GL-10647,2026-02-20,Enterprise Cloud BV,Sales & Marketing,Payroll & Benefits,Executive Compensation,Mercer Benefits,28414.58,60,RECONCILED
GL-10648,2026-06-09,Group HQ (US),Data Infrastructure,Sales & Marketing,LinkedIn B2B Lead Generation,Meta Business,6801.87,30,RECONCILED
GL-10649,2026-12-04,Sub-Sahara Telco PLC,Engineering & R&D,Payroll & Benefits,Executive Compensation,Gusto Payroll,19380.25,30,RECONCILED
GL-10650,2026-09-30,Sub-Sahara Telco PLC,Customer Support,Payroll & Benefits,Executive Compensation,Gusto Payroll,15622.41,30,RECONCILED
GL-10651,2026-11-15,Group HQ (US),Sales & Marketing,Direct COGS,Third-Party LLM API Credits,OpenAI Inc,1990.79,60,RECONCILED
GL-10652,2026-10-21,Enterprise Cloud BV,Sales & Marketing,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,18514.43,30,RECONCILED
GL-10653,2026-08-30,Group HQ (US),Engineering & R&D,Direct COGS,AWS Cloud Compute & S3,Cloudflare CDN,6608.45,60,RECONCILED
GL-10654,2026-10-31,EMEA Logistics Ltd,Data Infrastructure,Direct COGS,Stripe Payment Processing,Stripe Inc,6289.32,60,RECONCILED
GL-10655,2026-02-10,EMEA Logistics Ltd,Data Infrastructure,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,7431.57,45,RECONCILED
GL-10656,2026-12-30,EMEA Logistics Ltd,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Mid-Market B2B SaaS Client,21874.67,60,RECONCILED
GL-10657,2026-07-06,EMEA Logistics Ltd,Sales & Marketing,Payroll & Benefits,Contract Data Engineers,Remote.com Global,9415.84,45,RECONCILED
GL-10658,2026-01-16,Group HQ (US),Customer Support,Gross Revenue,Enterprise Multi-Year License,Fintech Payment Partner,74203.64,45,RECONCILED
GL-10659,2026-11-06,Enterprise Cloud BV,Data Infrastructure,Gross Revenue,Professional Advisory Retainer,Fortune 500 Enterprise Client,13146.74,60,RECONCILED
GL-10660,2026-06-04,EMEA Logistics Ltd,Customer Support,Payroll & Benefits,Engineering Salaries,Gusto Payroll,12801.41,45,RECONCILED
GL-10661,2026-06-24,Enterprise Cloud BV,Data Infrastructure,Direct COGS,Stripe Payment Processing,OpenAI Inc,4992.86,30,RECONCILED
GL-10662,2026-12-09,Group HQ (US),Data Infrastructure,Sales & Marketing,Google Search & Ads Campaign,Meta Business,4103.02,30,RECONCILED
GL-10663,2026-04-01,Sub-Sahara Telco PLC,Customer Support,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,9866.69,60,RECONCILED
GL-10664,2026-02-16,Enterprise Cloud BV,Sales & Marketing,Sales & Marketing,Global SaaS Summit Booth,Google Ads,20141.55,60,RECONCILED
GL-10665,2026-09-30,Sub-Sahara Telco PLC,Customer Support,Payroll & Benefits,Executive Compensation,Gusto Payroll,16730.22,45,RECONCILED
GL-10666,2026-12-14,Sub-Sahara Telco PLC,Customer Support,Payroll & Benefits,Executive Compensation,ADP TotalSource,25402.72,60,FLAGGED_VARIANCE
GL-10667,2026-07-26,Enterprise Cloud BV,General & Admin,Gross Revenue,Professional Advisory Retainer,Fortune 500 Enterprise Client,5021.08,60,RECONCILED
GL-10668,2026-07-03,Group HQ (US),General & Admin,Sales & Marketing,Google Search & Ads Campaign,Meta Business,7117.78,45,RECONCILED
GL-10669,2026-12-31,EMEA Logistics Ltd,Customer Support,Direct COGS,Third-Party LLM API Credits,Stripe Inc,4143.68,45,RECONCILED
GL-10670,2026-10-12,EMEA Logistics Ltd,General & Admin,Sales & Marketing,Google Search & Ads Campaign,HubSpot Marketing,9479.65,60,RECONCILED
GL-10671,2026-01-06,Group HQ (US),Engineering & R&D,Gross Revenue,Enterprise Multi-Year License,Fintech Payment Partner,83248.25,30,RECONCILED
GL-10672,2026-11-25,EMEA Logistics Ltd,Customer Support,Sales & Marketing,Global SaaS Summit Booth,Meta Business,17464.97,45,RECONCILED
GL-10673,2026-10-10,EMEA Logistics Ltd,Customer Support,Direct COGS,AWS Cloud Compute & S3,Cloudflare CDN,9543.11,60,RECONCILED
GL-10674,2026-05-02,Sub-Sahara Telco PLC,Customer Support,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,470.27,30,RECONCILED
GL-10675,2026-12-27,Sub-Sahara Telco PLC,Engineering & R&D,Payroll & Benefits,Contract Data Engineers,ADP TotalSource,4565.66,60,RECONCILED
GL-10676,2026-05-24,EMEA Logistics Ltd,Data Infrastructure,Gross Revenue,Professional Advisory Retainer,Fortune 500 Enterprise Client,11130.78,60,RECONCILED
GL-10677,2026-12-09,Group HQ (US),Data Infrastructure,Sales & Marketing,LinkedIn B2B Lead Generation,Google Ads,6892.59,60,RECONCILED
GL-10678,2026-08-29,EMEA Logistics Ltd,Data Infrastructure,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,1284.13,45,RECONCILED
GL-10679,2026-01-19,Sub-Sahara Telco PLC,Data Infrastructure,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,19453.53,60,RECONCILED
GL-10680,2026-05-30,Group HQ (US),General & Admin,Direct COGS,AWS Cloud Compute & S3,Amazon Web Services,12949.94,45,RECONCILED
GL-10681,2026-11-12,Sub-Sahara Telco PLC,General & Admin,Sales & Marketing,Google Search & Ads Campaign,Google Ads,6330.57,60,RECONCILED
GL-10682,2026-12-04,EMEA Logistics Ltd,General & Admin,Sales & Marketing,LinkedIn B2B Lead Generation,LinkedIn B2B Marketing,4254.99,60,RECONCILED
GL-10683,2026-06-25,Group HQ (US),Sales & Marketing,Payroll & Benefits,Engineering Salaries,Mercer Benefits,15156.75,45,RECONCILED
GL-10684,2026-05-02,EMEA Logistics Ltd,Sales & Marketing,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,6358.14,45,RECONCILED
GL-10685,2026-03-01,Group HQ (US),Sales & Marketing,Direct COGS,Stripe Payment Processing,OpenAI Inc,4467.25,60,RECONCILED
GL-10686,2026-12-16,EMEA Logistics Ltd,Customer Support,Gross Revenue,Professional Advisory Retainer,Fintech Payment Partner,5296.58,45,RECONCILED
GL-10687,2026-06-11,Group HQ (US),Engineering & R&D,General & Admin,Software Subscriptions (Slack/GitHub),Baker McKenzie LLP,2407.99,45,RECONCILED
GL-10688,2026-11-30,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,17222.72,45,RECONCILED
GL-10689,2026-12-12,Enterprise Cloud BV,Data Infrastructure,Sales & Marketing,Global SaaS Summit Booth,HubSpot Marketing,18554.36,30,RECONCILED
GL-10690,2026-01-06,Group HQ (US),Engineering & R&D,Gross Revenue,SaaS Platform Subscriptions,Fortune 500 Enterprise Client,17923.74,45,RECONCILED
GL-10691,2026-05-26,Sub-Sahara Telco PLC,Sales & Marketing,Gross Revenue,Professional Advisory Retainer,Fortune 500 Enterprise Client,6422.05,60,RECONCILED
GL-10692,2026-04-22,Group HQ (US),Engineering & R&D,Gross Revenue,Professional Advisory Retainer,Mid-Market B2B SaaS Client,14398.96,60,RECONCILED
GL-10693,2026-04-05,Group HQ (US),Sales & Marketing,Gross Revenue,Enterprise Multi-Year License,Fortune 500 Enterprise Client,59714.64,45,RECONCILED
GL-10694,2026-12-21,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,SaaS Platform Subscriptions,National Telecom Operator,19984.88,45,RECONCILED
GL-10695,2026-01-31,Sub-Sahara Telco PLC,General & Admin,Gross Revenue,SaaS Platform Subscriptions,Fintech Payment Partner,24536.99,30,RECONCILED
GL-10696,2026-04-02,EMEA Logistics Ltd,Engineering & R&D,Gross Revenue,Enterprise Multi-Year License,Mid-Market B2B SaaS Client,57977.64,30,PENDING_AUDIT
GL-10697,2026-05-13,Group HQ (US),Engineering & R&D,Gross Revenue,Professional Advisory Retainer,National Telecom Operator,24430.93,30,PENDING_AUDIT
GL-10698,2026-03-18,Group HQ (US),Engineering & R&D,Payroll & Benefits,Executive Compensation,Gusto Payroll,28101.27,45,RECONCILED
GL-10699,2026-09-21,EMEA Logistics Ltd,Customer Support,Direct COGS,Third-Party LLM API Credits,Amazon Web Services,3470.71,30,RECONCILED
GL-10700,2026-12-19,EMEA Logistics Ltd,Engineering & R&D,Payroll & Benefits,Executive Compensation,Remote.com Global,27682.22,45,RECONCILED
GL-10701,2026-11-28,Group HQ (US),General & Admin,Direct COGS,Stripe Payment Processing,Amazon Web Services,7277.1,45,RECONCILED
GL-10702,2026-04-01,Group HQ (US),Customer Support,Payroll & Benefits,Executive Compensation,Mercer Benefits,32618.6,60,RECONCILED
GL-10703,2026-09-07,Group HQ (US),Customer Support,Payroll & Benefits,Engineering Salaries,ADP TotalSource,8720.57,60,FLAGGED_VARIANCE
